variables;cant .valores no similares ;porcentaje de valores similares entre 2 matrices
9300;1250351;0.971
9300;1250351;0.971
100;99;0.980
100;99;0.980
100;99;0.980
100;99;0.980
100;99;0.980
100;99;0.980
100;99;0.980
100;99;0.980
9200;615395;0.985
9200;615395;0.985
9200;615395;0.985
4600;111901;0.989
4600;111901;0.989
4600;111901;0.989
9300;440345;0.990
200;199;0.990
2000;19101;0.990
600;1699;0.991
1600;11100;0.991
1600;11100;0.991
1600;11100;0.991
1800;11901;0.993
1800;11901;0.993
1800;11901;0.993
300;299;0.993
300;299;0.993
300;299;0.993
300;299;0.993
300;299;0.993
300;299;0.993
300;299;0.993
300;299;0.993
300;299;0.993
300;299;0.993
300;299;0.993
300;299;0.993
300;299;0.993
5800;106109;0.994
9900;300045;0.994
5800;100109;0.994
5800;100109;0.994
5800;100109;0.994
5800;100109;0.994
5800;100109;0.994
5800;100109;0.994
5800;100109;0.994
5800;100109;0.994
6100;101850;0.995
6100;101850;0.995
6100;101850;0.995
6100;101850;0.995
6100;101850;0.995
6100;101850;0.995
6100;101850;0.995
1100;3301;0.995
1100;3301;0.995
6100;101100;0.995
400;399;0.995
400;399;0.995
400;399;0.995
400;399;0.995
400;399;0.995
400;399;0.995
7000;103150;0.996
500;499;0.996
500;499;0.996
500;499;0.996
500;499;0.996
2000;7881;0.996
7500;102100;0.996
7500;102100;0.996
7800;103990;0.997
7800;103990;0.997
7700;100110;0.997
7700;100110;0.997
7700;100110;0.997
7700;100110;0.997
2700;12301;0.997
2700;12301;0.997
2700;12301;0.997
2700;12301;0.997
2700;12301;0.997
600;599;0.997
600;599;0.997
600;599;0.997
600;599;0.997
600;599;0.997
600;599;0.997
4400;31900;0.997
2700;12001;0.997
1800;5109;0.997
1800;5109;0.997
1800;5109;0.997
2200;7251;0.997
2200;7251;0.997
2200;7251;0.997
1500;3100;0.997
1500;3100;0.997
1500;3100;0.997
1500;3100;0.997
1500;3100;0.997
1500;3100;0.997
1500;3100;0.997
1500;3100;0.997
1500;3100;0.997
8900;100449;0.997
8900;100449;0.997
2400;7199;0.997
800;799;0.998
800;799;0.998
800;799;0.998
1300;2101;0.998
2400;7121;0.998
2400;7121;0.998
2400;7121;0.998
9100;100101;0.998
10000;119521;0.998
9300;101201;0.998
9300;101201;0.998
9300;101201;0.998
9300;101201;0.998
9300;101201;0.998
8900;89900;0.998
8900;89900;0.998
3300;12349;0.998
8900;89001;0.998
1300;1895;0.998
900;899;0.998
900;899;0.998
900;899;0.998
900;899;0.998
900;899;0.998
900;899;0.998
900;899;0.998
2200;5331;0.998
2200;5331;0.998
2200;5331;0.998
2200;5331;0.998
1000;1041;0.998
5400;30201;0.998
5400;30201;0.998
5400;30201;0.998
1100;1200;0.998
1100;1200;0.998
1100;1200;0.998
3500;12000;0.998
3500;12000;0.998
3500;12000;0.998
3500;12000;0.998
3500;12000;0.998
3500;12000;0.998
3500;12000;0.998
3300;10000;0.998
3500;11100;0.998
3200;9100;0.998
3200;9100;0.998
1600;2175;0.998
1600;2175;0.998
1200;1199;0.998
1200;1199;0.998
1200;1199;0.998
1200;1199;0.998
1200;1199;0.998
1200;1199;0.998
9400;72901;0.998
9400;72901;0.998
7100;41130;0.998
7100;41130;0.998
7100;41130;0.998
7100;41130;0.998
1900;2851;0.998
1900;2851;0.998
1900;2851;0.998
1900;2851;0.998
1900;2851;0.998
1900;2851;0.998
3000;6999;0.998
2100;3330;0.998
2100;3330;0.998
3900;11450;0.998
3900;11450;0.998
3900;11050;0.999
1300;1221;0.999
1300;1221;0.999
1300;1221;0.999
4400;13601;0.999
1300;1100;0.999
1300;1100;0.999
7000;31599;0.999
7000;31599;0.999
7000;31599;0.999
2100;2801;0.999
4400;12009;0.999
4400;12001;0.999
6000;21309;0.999
6000;21309;0.999
8400;40299;0.999
8400;40299;0.999
4500;11251;0.999
4500;11251;0.999
7900;34100;0.999
7900;34100;0.999
7900;34100;0.999
2100;2300;0.999
7600;30100;0.999
5000;12001;0.999
4900;11151;0.999
4900;11151;0.999
4900;11151;0.999
4900;11151;0.999
4900;11151;0.999
4900;11151;0.999
4900;11151;0.999
5400;12000;0.999
5000;10000;0.999
5000;10000;0.999
5000;10000;0.999
2300;2111;0.999
2300;2111;0.999
2300;2111;0.999
3900;6062;0.999
5300;11000;0.999
1100;450;0.999
7600;21001;0.999
7600;21001;0.999
7600;21001;0.999
7600;21001;0.999
7500;20146;0.999
7500;20146;0.999
7500;20146;0.999
7500;20146;0.999
7500;20146;0.999
7500;20146;0.999
7500;20146;0.999
2600;2400;0.999
2600;2400;0.999
2600;2400;0.999
2900;2951;0.999
2900;2951;0.999
9600;32001;0.999
9600;32001;0.999
3000;3030;0.999
2700;2301;0.999
5900;10505;0.999
5900;10505;0.999
5900;10505;0.999
5900;10505;0.999
5900;10505;0.999
2700;2100;0.999
6400;11001;0.999
6400;11001;0.999
6400;11001;0.999
6400;11001;0.999
6400;11001;0.999
6400;11001;0.999
6400;11001;0.999
8700;20101;0.999
8700;20101;0.999
8700;20101;0.999
6500;11151;0.999
6500;11151;0.999
6300;10400;0.999
6300;10400;0.999
6700;11499;0.999
6600;11001;0.999
6600;11001;0.999
6600;11001;0.999
6600;11001;0.999
6600;11001;0.999
7000;11950;1.000
7000;11950;1.000
7000;11950;1.000
7000;11950;1.000
6700;10249;1.000
6700;10249;1.000
9500;20091;1.000
9500;20091;1.000
9500;20091;1.000
9500;20091;1.000
