N.BASES;Nombre la base ;total de observaciones;filas(observaciones);variables;total de valores en la matriz de   similaridad;Rchic total similaridad;Pchic total similaridad;cant .valores no similares ;porcentaje de valores similares entre 2 matrices;porcentaje de no similaridad;decimales 6pchic  y 7 rchic;nodospchic ;nodosrchic;porcentaje nodos iguales;dendogramas r chic;dendrograma pchic;Rchic total similaridad(6);Pchic total similaridad(6);cant .valores no similares ;porcentaje de valores similares(6);porcentaje de no similaridad
1;natallyFile_130_C78700xV600;47220000;78700;600;360000;179700;179101;599;0.997;0.003;7;38;38;1;1;1;179700;179700;0;1;0
2;natallyFILE_128_C62600xV300;18780000;62600;300;90000;44850;44551;299;0.993;0.007;7;34;35;0.97143;1;1;44850;44850;0;1;0
3;natallyFile_137_C67500xV800;54000000;67500;800;640000;319600;318801;799;0.998;0.002;7;35;36;0.97222;1;1;319600;319600;0;1;0
4;natallyFile_144_C4700xV300;1410000;4700;300;90000;44850;44551;299;0.993;0.0067;7;36;37;0.97297;1;1;44850;44850;0;1;0
5;natallyFile_149_C10900xV300;3270000;10900;300;90000;44850;44551;299;0.993;0.0067;7;36;36;1;1;1;44850;44850;0;1;0
6;natallyFile_159_C80700xV3;242100;80700;3;9;3;3;0;1;0;7;1;1;1;1;1;3;3;0;1;0
7;natallyFile_162_C26300xV500;13150000;26300;500;250000;124750;124251;499;0.996;0.004;7;36;36;1;1;1;124750;124750;0;1;0
8;natallyFile_204_C32300xV900;29070000;32300;900;810000;404550;403651;899;0.998;0.0022;7;37;38;0.97368;1;1;404550;404550;0;1;0
9;natallyFile_185_C18200xV300;5460000;18200;300;90000;44850;44551;299;0.993;0.0067;7;37;38;0.97368;1;1;44850;44850;0;1;0
10;natallyFile_212_C4000xV38;152000;4000;38;1444;703;703;0;1;0;7;10;10;1;1;1;703;703;0;1;0
11;natallyFile_169_C33000xV200;6600000;33000;200;40000;19900;19701;199;0.99;0.01;7;36;39;0.92308;1;1;19900;19900;0;1;0
12;natallyFile_192_C20500xV1200;24600000;20500;1200;1440000;719400;718201;1199;0.9983;0.0017;7;38;40;0.95;1;1;719400;719400;0;1;0
13;natallyFile_237_C94400xV300;28320000;94400;300;90000;44850;44551;299;0.9933;0.0067;7;35;37;0.94595;1;1;44850;44850;0;1;0
14;natallyFile_242_C55500xV100;5550000;55500;100;10000;4950;4851;99;0.98;0.02;7;20;21;0.95238;1;1;4950;4950;0;1;0
15;natallyFile_250_C33200xV400;13280000;33200;400;160000;79800;79401;399;0.995;0.005;7;37;40;0.925;1;1;79800;79800;0;1;0
16;natallyFile_279_C1400xV900;1260000;1400;900;810000;404550;403651;899;0.998;0.0022;7;38;40;0.95;1;1;404550;404550;0;1;0
17;natallyFile_382_C65900xV300;19770000;65900;300;90000;44850;44551;299;0.9933;0.0067;7;37;38;0.97368;1;1;44850;44850;0;1;0
18;natallyFile_410_C13800xV400;5520000;13800;400;160000;79800;79401;399;1;0.01;7;38;38;1;1;1;79800;79800;0;1;0
